epoch	loss	lr	val_loss	val_lr
0	0.12697426974773407	0.01	NA	NA
1	0.12617893517017365	0.01	NA	NA
2	0.12542161345481873	0.01	NA	NA
3	0.12470296770334244	0.01	NA	NA
4	0.12401693314313889	0.01	NA	NA
5	0.1233510673046112	0.01	NA	NA
6	0.12269450724124908	0.01	NA	NA
7	0.12204394489526749	0.01	NA	NA
8	0.12139391899108887	0.01	NA	NA
9	0.12074832618236542	0.01	NA	NA
10	0.12010358273983002	0.01	NA	NA
11	0.119459368288517	0.01	NA	NA
12	0.11881460249423981	0.01	NA	NA
13	0.11816974729299545	0.01	NA	NA
14	0.11752263456583023	0.01	NA	NA
15	0.11687320470809937	0.01	NA	NA
16	0.11622471362352371	0.01	NA	NA
17	0.11556953191757202	0.01	NA	NA
18	0.11491434276103973	0.01	NA	NA
19	0.11425485461950302	0.01	NA	NA
20	0.11359227448701859	0.01	NA	NA
21	0.11292292922735214	0.01	NA	NA
22	0.11224768310785294	0.01	NA	NA
23	0.11156649142503738	0.01	NA	NA
24	0.11087832599878311	0.01	NA	NA
25	0.11018304526805878	0.01	NA	NA
26	0.10947893559932709	0.01	NA	NA
27	0.10876362770795822	0.01	NA	NA
28	0.1080392524600029	0.01	NA	NA
29	0.1073044091463089	0.01	NA	NA
30	0.10655432939529419	0.01	NA	NA
31	0.10579077899456024	0.01	NA	NA
32	0.10501448065042496	0.01	NA	NA
33	0.10422081500291824	0.01	NA	NA
34	0.10341186076402664	0.01	NA	NA
35	0.10258543491363525	0.01	NA	NA
36	0.101738840341568	0.01	NA	NA
37	0.10086997598409653	0.01	NA	NA
38	0.09997712820768356	0.01	NA	NA
39	0.0990639254450798	0.01	NA	NA
40	0.09811979532241821	0.01	NA	NA
41	0.09715619683265686	0.01	NA	NA
42	0.09616728127002716	0.01	NA	NA
43	0.095151886343956	0.01	NA	NA
44	0.09410960972309113	0.01	NA	NA
45	0.09303873777389526	0.01	NA	NA
46	0.09194237738847733	0.01	NA	NA
47	0.09082246571779251	0.01	NA	NA
48	0.08968045562505722	0.01	NA	NA
